nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.808141	0.822162	126.903079	9.374916	0.000786	0.61153	0.579294	205.0	0.65225	-1.506514	4.967333	0.131308	8.00615e-005	0.008936	409.407836	3.054624	45.766278	409.419232	0.007461	8.177999	0.061017	8.178227	4.737126e-005	313.380287	0.159091	
5.818138	0.875286	126.884344	9.336575	0.000777	0.611485	0.579294	205.0	0.653159	-1.426795	4.96734	0.131491	8.017306e-005	0.008936	351.779287	2.160423	33.785466	351.785921	0.006141	8.167475	0.05016	8.167629	3.894239e-005	423.374814	0.21495	
5.828134	0.801799	126.85967	9.339133	0.00079	0.611426	0.579294	205.0	0.652754	-1.419824	4.96733	0.131409	8.012337e-005	0.008936	433.651549	2.618796	51.290424	433.659456	0.006039	8.172294	0.049352	8.172443	3.831519e-005	278.930492	0.141598	
5.838131	0.744251	126.822768	9.323571	0.0008	0.611338	0.579294	205.0	0.65117	-1.507332	4.967322	0.131091	7.992892e-005	0.008936	554.886853	4.163435	83.506266	554.902473	0.007503	8.190863	0.061458	8.191093	4.771372e-005	171.135587	0.086869	
5.848128	0.751403	126.783975	9.282187	0.000799	0.611244	0.579294	205.0	0.650574	-1.43314	4.967323	0.130971	7.985575e-005	0.008936	521.86313	3.294674	73.51581	521.87353	0.006313	8.198252	0.051758	8.198416	4.01831e-005	193.829198	0.09839	
5.858125	0.893418	126.744495	9.190228	0.000774	0.611148	0.579294	205.0	0.650666	-1.480963	4.967343	0.130989	7.986714e-005	0.008936	328.223861	2.326453	28.902052	328.232106	0.007088	8.197006	0.0581	8.197212	4.510718e-005	489.846572	0.248712	
5.868122	0.763434	126.711163	9.205031	0.000797	0.611068	0.579294	205.0	0.649024	-1.373792	4.967325	0.130659	7.966558e-005	0.008936	475.830651	2.564646	60.509792	475.837562	0.00539	8.217045	0.044288	8.217164	3.438405e-005	234.215906	0.118895	
5.878118	0.717029	126.681207	9.19229	0.000805	0.610996	0.579294	205.0	0.649232	-1.42508	4.967319	0.130701	7.969108e-005	0.008936	605.21741	3.763226	97.866978	605.229109	0.006218	8.214365	0.051077	8.214524	3.96542e-005	144.682192	0.07344	
5.888115	0.846599	126.663112	9.126312	0.000782	0.610952	0.579294	205.0	0.647308	-1.425119	4.967336	0.130313	7.945488e-005	0.008936	358.32747	2.246605	33.954132	358.334512	0.00627	8.237597	0.051647	8.237759	4.009715e-005	415.079026	0.210737	
5.898112	0.749242	126.653295	9.152549	0.000799	0.610929	0.579294	205.0	0.646738	-1.496007	4.967323	0.130198	7.938492e-005	0.008936	493.074966	3.667169	64.308253	493.088602	0.007437	8.244229	0.061315	8.244457	4.7603e-005	219.565465	0.111457	
